Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
sample_A	14	65	14	54	0	11	14	61	14	53	0	8	79	multiple_NUMTs
sample_B	13	63	13	52	0	11	12	55	12	47	0	8	76	multiple_NUMTs
sample_C	18	71	18	58	0	13	18	65	18	54	0	11	89	multiple_NUMTs
sample_D	19	58	19	49	0	9	19	56	19	48	0	8	77	multiple_NUMTs
sample_E	15	65	15	55	0	10	15	62	15	54	0	8	80	multiple_NUMTs
sample_F	12	59	12	48	0	11	12	55	12	46	0	9	71	multiple_NUMTs
sample_G	18	61	18	52	0	9	18	59	18	51	0	8	79	multiple_NUMTs
sample_HV	4	53	4	44	0	9	4	50	4	43	0	7	57	multiple_NUMTs
sample_H	3	91	3	76	0	15	3	88	3	75	0	13	94	multiple_NUMTs
sample_I	12	70	12	61	0	9	12	67	12	59	0	8	82	multiple_NUMTs
sample_J	12	61	12	52	0	9	12	59	12	51	0	8	73	multiple_NUMTs
sample_K	15	59	15	50	0	9	15	56	15	48	0	8	74	multiple_NUMTs
sample_L0	40	89	40	77	0	12	40	82	40	72	0	10	129	multiple_NUMTs
sample_L1	29	88	29	77	0	11	29	82	29	73	0	9	117	multiple_NUMTs
sample_L2	27	66	27	57	0	9	27	64	27	56	0	8	93	multiple_NUMTs
sample_L3	10	59	10	49	0	10	10	57	10	48	0	9	69	multiple_NUMTs
sample_L4	25	71	25	61	0	10	25	67	25	59	0	8	96	multiple_NUMTs
sample_L5	37	91	37	78	0	13	37	81	37	72	0	9	128	multiple_NUMTs
sample_M	11	59	11	50	0	9	11	57	11	49	0	8	70	multiple_NUMTs
sample_N	19	58	19	49	0	9	19	55	19	48	0	7	77	multiple_NUMTs
sample_P	13	60	12	52	1	8	12	57	12	51	0	6	73	multiple_NUMTs
sample_R	5	55	5	46	0	9	5	53	5	45	0	8	60	multiple_NUMTs
sample_S	0	50	0	41	0	9	0	47	0	39	0	8	50	.
sample_T	14	63	14	54	0	9	14	60	14	53	0	7	77	multiple_NUMTs
sample_U	6	60	6	50	0	10	6	58	6	49	0	9	66	multiple_NUMTs
sample_V	5	51	5	42	0	9	5	48	5	41	0	7	56	multiple_NUMTs
sample_W	14	65	14	56	0	9	14	62	14	55	0	7	79	multiple_NUMTs
sample_X	16	63	16	52	0	11	16	58	16	49	0	9	79	multiple_NUMTs
sample_Y	10	62	10	53	0	9	10	59	10	52	0	7	72	multiple_NUMTs
sample_Z	11	73	11	62	0	11	11	69	11	59	0	10	84	mismatch_HG;multiple_NUMTs
