Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	33	46	31	9	2	37	31	40	30	8	1	32	79	mean_cvg_less_500
HG00621	25	100	25	50	0	50	24	95	24	49	0	46	125	mean_cvg_less_500
HG00673	29	119	27	48	2	71	27	114	26	47	1	67	148	mean_cvg_less_500
HG00733	31	21	29	6	2	15	29	20	29	6	0	14	52	mean_cvg_less_500
HG00735	43	49	40	22	3	27	42	46	40	22	2	24	92	mean_cvg_less_500
HG00741	71	822	70	470	1	352	68	807	68	465	0	342	893	mean_cvg_less_500;min_cvg_less_100;mismatch_HG;multiple_NUMTs
HG01071	44	70	41	36	3	34	41	67	39	36	2	31	114	mean_cvg_less_500
HG01106	35	62	34	28	1	34	34	59	34	28	0	31	97	mean_cvg_less_500
HG01109	83	117	80	38	3	79	80	115	80	38	0	77	200	mean_cvg_less_500;min_cvg_less_100
HG01175	0	0	0	0	0	0	0	0	0	0	0	0	0	mean_cvg_less_500;min_cvg_less_100
HG01258	30	27	28	5	2	22	26	20	26	3	0	17	57	mean_cvg_less_500
HG01358	33	98	32	54	1	44	32	93	32	53	0	40	131	mean_cvg_less_500;multiple_NUMTs
HG01361	31	29	29	5	2	24	27	22	27	4	0	18	60	mean_cvg_less_500
HG01891	56	1	55	1	1	0	55	1	55	1	0	0	57	.
HG01928	34	84	33	37	1	47	31	76	31	35	0	41	118	mean_cvg_less_500
HG01952	32	100	31	53	1	47	31	95	31	52	0	43	132	mean_cvg_less_500
HG01978	15	135	15	73	0	62	15	131	15	73	0	58	150	mean_cvg_less_500
HG02055	38	20	35	3	3	17	34	18	33	3	1	15	58	mean_cvg_less_500
HG02080	33	57	33	16	0	41	33	51	33	14	0	37	90	mean_cvg_less_500;min_cvg_less_100
HG02145	58	21	57	4	1	17	57	19	57	4	0	15	79	mean_cvg_less_500
HG02148	37	60	37	22	0	38	37	56	37	21	0	35	97	mean_cvg_less_500
HG02257	44	205	41	116	3	89	43	203	41	116	2	87	249	mean_cvg_less_500
HG02572	79	25	78	4	1	21	76	21	76	4	0	17	104	mean_cvg_less_500
HG02622	29	96	28	43	1	53	27	89	27	41	0	48	125	mean_cvg_less_500
HG02630	53	78	53	37	0	41	52	74	52	37	0	37	131	mean_cvg_less_500
HG02717	57	20	57	3	0	17	56	16	56	3	0	13	77	mean_cvg_less_500
HG02723	42	27	40	3	2	24	39	23	38	3	1	20	69	mean_cvg_less_500
HG02818	39	22	38	4	1	18	38	18	38	4	0	14	61	mean_cvg_less_500
HG02886	50	16	50	1	0	15	49	12	49	1	0	11	66	mean_cvg_less_500
HG03098	51	25	51	3	0	22	50	20	50	3	0	17	76	mean_cvg_less_500
HG03453	47	111	47	59	0	52	46	104	46	58	0	46	158	mean_cvg_less_500
HG03486	53	24	53	4	0	20	52	19	52	4	0	15	77	mean_cvg_less_500
HG03492	31	19	31	3	0	16	30	18	30	3	0	15	50	mean_cvg_less_500
HG03516	51	22	51	2	0	20	50	19	50	2	0	17	73	mean_cvg_less_500
HG03540	55	134	55	66	0	68	55	130	55	65	0	65	189	mean_cvg_less_500
HG03579	55	69	55	31	0	38	55	65	55	31	0	34	124	mean_cvg_less_500
NA18906	80	24	77	4	3	20	77	22	77	4	0	18	104	mean_cvg_less_500
NA19240	33	24	33	2	0	22	32	19	32	1	0	18	57	mean_cvg_less_500
NA20129	30	23	30	4	0	19	30	21	30	4	0	17	53	mean_cvg_less_500
